序,地區,認證別,單位名稱,餐廳名稱                ,性質,電話,地址,經度坐標,緯度坐標,認證單位,備註
11,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"天祥晶華飯店股份有限公司
Silks Place Taroko","太魯閣晶英酒店(5星)梅園中餐廳
Silks Place Taroko(5 Star) Mei-Yuan Restaurant",旅館                                            Hotel,-1144,"花蓮縣秀林鄉天祥路18號
No.18, Tianxiang, Xiulin Township, Hualien County",121.522405,23.8420215,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
12,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"櫻田野餐廳
Sakula Wild Restaurant","櫻田野休閒養生館
Sakula Natural and Healthy Restaurant",餐廳附設民宿 Restaurant with Guesthouse,-337,"花蓮縣吉安鄉福興七街8號
No.8, Fuxing 7th Street, Ji-an Township, Hualien County",121.5853009,23.9762786,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
13,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"怡園實業股份有限公司
Yiyuan Resort Ltd.","怡園渡假村
Yiyuan Resort",渡假村                              Resort,-1148,"花蓮縣壽豐鄉豐坪路三段6巷21號
No. 21, Ln. 6, Sec. 3, Fengping Rd., Shoufeng Township, Hualien County",121.5852917,23.9769948,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
14,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"晶園民宿
Jin Yuan Homestay","晶園民宿
Jin Yuan Homestay",民宿                              Guesthouse ,-1609.375847,"花蓮縣吉安鄉慈惠一街56號
No. 56, Cihui 1st St., Ji'an Township, Hualien County",121.5849484,23.9761767,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
15,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"檜之園民宿
Kuai Zhi Yuan Homestay","檜之園民宿
Kuai Zhi Yuan Homestay",民宿                              Guesthouse ,-1609.375847,"花蓮縣吉安鄉自強路2號
No.2, Ziqiang Rd., Ji'an Township, Hualien County",121.522186,23.86477,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
16,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"檜木居民宿
Cypress House","檜木居民宿
Cypress House",民宿                              Guesthouse ,-1609.375847,"花蓮縣吉安鄉慈惠一街58號
No.58, Cihui 1st St., Ji’an Township, Hualien County",121.6073935,23.99385,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
17,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"立川漁場股份有限公司
Lichuan Aquafarm Co. Ltd.",立川漁場五餅二魚餐廳 Lichuan Aquafarm Five Cake Two Fish Restaurant,餐廳                                             Restaurant,-1315,"花蓮縣壽豐鄉共和村魚池路45號
No.45, Yuchi, Shoufeng Township, Hualien County",121.6142378,23.9722207,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
18,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"女王萬歲民宿 
Queenlove B&B","女王萬歲民宿 
Queenlove B&B",民宿                              Guesthouse ,-1382,"花蓮市國民八街111號
No.111, Guomin 8th St., Hualien City, Hualien County",121.6017583,24.0393114,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
19,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,聽海說故事民宿               Taleocean B&B           ,聽海說故事民宿               Taleocean B&B           ,民宿                              Guesthouse ,-1835.823928,"花蓮縣花蓮市民主里海濱街16-1號No.16-1, Beibin St., Hualien City, Hualien County",121.611027,23.9771809,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
20,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,白金漢宮民宿                  Buckingham Palace B&B,白金漢宮民宿                  Buckingham Palace B&B,民宿                              Guesthouse ,-1732,"花蓮縣新城鄉北埔村復興路329巷1號No.1, Ln. 329, Fuxing Rd., Xincheng Township, Hualien County",121.6136047,23.9715586,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
21,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,玫瑰花園民宿Roseland B&B,玫瑰花園民宿Roseland B&B,民宿                              Guesthouse ,-5803,"花蓮縣花蓮市民生里公園路7-1號No.7-1, Gongyuan Rd., Hualien City, Hualien County",121.5664921,23.9919527,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
22,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"海傳民宿
View Ocean ","海傳民宿
View Ocean ",民宿                              Guesthouse ,-8768,"花蓮縣花蓮市海濱街4號
970 No. 4, Haibin St., Hualien City, Hualien County",121.4923534,23.8581461,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
23,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"藍天普悠瑪民宿
Blue Sky Puyuma B&B","藍天普悠瑪民宿
Blue Sky Puyuma B&B",民宿                              Guesthouse ,-1327.972912,"花蓮縣吉安鄉太昌路433號
973 No. 433, Taichang Rd., Jian Township, Hualien County ",121.6014393,23.9767148,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
24,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"小雨蛙生態民宿
Small Tree Frog Eco B&B","小雨蛙有機生態農場
Small Tree Frog Eco Farm",民宿                              Guesthouse ,-4657.975169,"花蓮縣壽豐鄉豐山村5鄰魚塘36號
No. 36, Yutang, Shoufeng Township, Hualien County, Taiwan",121.5969304,23.9598073,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
25,花蓮縣            Hualien County,全清真                                             All Halal,"瑪丁娜印度小館
Madina Indian Restaurant","瑪丁娜印度小館
Madina Indian Restaurant",餐廳                                             Restaurant,-4871,"花蓮縣花蓮市和平路482號
970 No. 482, Heping Rd., Hualien City, Hualien County",,,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
26,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"自在海民宿
Zen Ocean B&B","自在海民宿
Zen Ocean B&B",民宿                              Guesthouse ,-8086,"973花蓮縣吉安鄉東昌村37鄰名人70號
No.70, Mingren, Ji'an Township, Hualien County, Taiwan",,,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
