"客戶名稱","客戶名稱1","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址"
"綜也蔬食","綜也蔬食","全菜食料理","ZH、EN","+886-3-522-4492","新竹市北区世界街114 号","新竹駅から徒歩11 分","11:30~13:30、17:30~20:00、水曜日、日曜日定休","約NT$170 より","www.facebook.com/TzungYe.Vegan"
"井町日式蔬食料理","井町日式蔬食料理","全菜食料理乳製品卵使用","ZH、EN","+886-3-525-3158 ","新竹市北区大同路135号 ","新竹駅から徒歩10 分 ","11:30~14:00 、17:30~21:00 ","約NT$100より ","www.facebook.com/井町-330154540435960/"
"日勝客家蔬食","日勝客家蔬食","全菜食料理","ZH、EN","+886-3-588-2106 ","新竹県新埔鎮中正路329号 ","新竹駅からバスに乗り換え、市場前バス停で下車 ","10:30~15:30、水曜日定休"," 約NT$80より ","www.facebook.com/sunrise5882106"
"一簞食˙蔬食生活","一簞食╳菜食ライフ","乳製品使用","ZH、EN","+886-3-931-1993","宜蘭県宜蘭市進士路101 号","宜蘭駅前バス停から【751】【753】に乗車するか宜蘭駅前五洲旅社バス停から【1786】に乗車し、【自強交差点バス停】で下車してすぐ。","08:00~14:00、日曜日、月曜日定休","約NT$80 より","zh-tw.facebook.com/eatdansu/"
"有機大地健康蔬食餐廳","有機大地健康蔬食餐庁","全菜食料理乳製品卵使用","ZH、EN","+886-3-987-0539","宜蘭県礁溪郷中山路二段51 号","礁溪駅より徒歩6 分","平日08:00~20:00、休日06:00~20:00、日曜日定休","約NT$160 より","www.facebook.com/YouJiDaDe/"
"I-Su 艾蔬食","I-su 艾蔬食","菜食の一部は全菜食料理に変更可能","ZH、EN","+886-3-746-1932","苗栗県竹南鎮大営路1 号","バスで竹南高校バス停下車","11:30~14:30、17:00~21:00、火曜日定休","約NT$199 より","www.i-su.com.tw"
"卓也小屋度假園區","卓也小屋リゾートパーク","全菜食料理乳製品卵使用","ZH、EN","+886-3-787-9198","苗栗県三義鄉双潭村13 鄰崩山下1-5 号","豊原バス三義西湖渡假村バス停で下車、或いはタクシー","平日昼食11:30~14:00、休日昼食11:00~12:30、13:00~14:30、 夕食17:00~20:00","約NT$499 より","www.joye.com.tw"
"斐麗巴黎廳","斐麗巴黎庁","全菜食料理乳製品卵使用","ZH、EN","+886-4-2376-8089","台中市西区五権西六街20 巷2 号","バスで五権西忠明南路交差点バス停下車","11:30~14:30、17:30~21:30","約NT$660 より","feeling.com.tw"
"澄石咖啡蔬食廚坊chensveg 東興店","澄石咖啡蔬食廚坊chensveg 東興店","全菜食料理乳製品卵使用","ZH、EN","+886-4-2326-8933","台中市南屯区東興路三段 221号","バスで東興公益路交差点バス停下車","10:00~22:00","約 NT$297より","www.facebook.com/ChengShiShuShiKaFeiChuFangchensvegDongXingDian"
"熱浪島南洋蔬食茶堂-直營旗艦店","熱浪島南洋蔬食茶堂- 直営旗艦店","乳製品卵使用","ZH、EN、JA","+886-4-2380-1133","台中市南屯区向上路三段 536 号","バスで向上環中路交差点バス停下車","11:00~21:30","約 NT$269 より","www.pulau-redang.com"
"曙光居蔬食料理","曙光居蔬食料理","全菜食料理","ZH、EN","+886-4-2329-2322","台中市西屯区大墩十八街104 号","バスで大墩十八街口バス停下車","17:00~21:00、日曜日定休","約NT$200 より","www.facebook.com/hsiaanchu"
"卡如那泰式素食 ","卡如那泰式素食","全菜食料乳製品使用","ZH、EN","+886-4-2285-6210","台中市南区国光路 216-1号","バスで国光国民小学前バス停下車","11:00~15:00、16:30~21:00、水曜日定休","約 NT$100より","www.facebook.com/mercy.thai/?sw_fnr_id=2016924308&fnr_t=0"
"養素庭迴轉火車素食火鍋","養素庭回転火車素食火鍋","全菜食料理乳製品卵使用","ZH、EN","+886-4-2241-1585","台中市北屯区崇徳路二段 208号","バスで崇徳瀋陽路交差点バス停下車","11:00~14:00、17:00~20:30","約 NT$368より","www.yst5268.com.tw/"
"天慈健康素食","天慈健康素食","全菜食料理乳製品卵使用","ZH、EN","+886-4-2236-1699","台中市北屯区昌平路一段 44号","バスで昌平北屯路交差点バス停下車","11:00~13:30、17:00~19:30、土曜日、日曜日定休","約 NT$60より",
"藝畝田人文蔬食餐廳","芸畝田人文蔬食餐庁","卵乳製品使用の一部料理は全菜食に変更可能","ZH、EN","+886-4-2407-384","台中市大里区東興路528 号","バスで文心南路1273 レーン駅から徒歩7 分","11:30~14:00、17:30~21:00","約NT$150 より","0424070384.boncity.com/"
"德慧素食生活館","徳慧素食生活館","全菜食料理乳製品卵使用","ZH、EN","+886-4-2623-3685","台中市清水区五権東路178 号","バスで五権東鎮新路交差点バス停下車","11:00~19:30、月曜日定休","約NT$200 より","www.facebook.com/DeHueiVegetarian/"
"Veges M 饗蔬職人","Veges M 饗蔬職人","乳製品卵使用","ZH、EN","+886-4-2451-2123 ","台中市西屯区烈美街108号 ","バスで逢甲大学福星路バス停下車 ","12:00~14:30、17:00~22:00 ","約NT$130より ","www.facebook.com/vegesmone"
"空幾何˙自然時蔬百匯","空幾何‧ 自然時蔬百匯","全菜食料理乳製品卵使用","ZH、EN","+886-4-711-2858 ","彰化県彰化市宝山路266号 ","バスで草慈亭バス停下車 ","金曜日~日曜日11:30~14:30、17:00~20:30、月曜日~木曜日11:30~14:30 ","約NT$680より ","www.facebook.com/kchvb"
"蔬食煮藝","蔬食煮芸","全菜食料理乳製品卵使用","ZH、EN","+886-4-728-6961","彰化県彰化市中正路一段511 号","彰化駅近くの光南ショッピングモール","11:00~14:00、17:00~20:00","約NT$115 より","www.facebook.com/cookingveget"
"拾金現代茶館","拾金現代茶館","乳製品卵使用","ZH、EN","+886-4-2323-0909","台中市西区大業路38 号","バスで東興国民小学校バス停下車","09:00~21:00","約NT$180 より","www.facebook.com/Shijintea"
"蒝味蔬食˙懷舊小吃","蒝味蔬食‧ 懐旧小吃","全菜食料理乳製品卵使用","ZH、EN","+886-4-728-9597","彰化県彰化市南郭路一段59号 ","バスで華陽市場バス停下車 ","11:00~14:00、17:00~22:00、日曜日定休 ","約NT$80より ","www.facebook.com/circle2016/?fref=ts"
"艾草花舍","艾草花舍","全菜食料理","ZH、EN","+886-5-597-1939 ","雲林県斗南鎮建国二路199-1号 ","バスで東明国民中学バス停下車 ","11:00~14:00、17:00~21:00 ","約NT$350より ","www.facebook.com/AiCaoHuaShe"
"田心心蔬食餐坊","田心心蔬食餐坊","全菜食料理","ZH、EN","+886-49-299-9351","南投県埔里鎮中正三路174 号","バスで埔里西バス停下車","11:00~14:00、17:00~21:00、水曜日定休","約NT$200 より","www.facebook.com/ 田心心蔬食餐坊-121331261214846/"
"雅池園蔬食餐廳","雅池園蔬食餐庁","全菜食料理乳製品使用","ZH、EN","+886-919-724306","南投県埔里鎮南環路952 号","バスで愛蘭橋バス停下車","11:30~20:00、水曜日定休","約NT$280 より","www.facebook.com/YaChiYuanJianKangShuShi"
"楓禾日秝","楓禾日秝","全菜食料理","ZH、EN","+886-5-276-1308","嘉義市東区民権路296 号","バス呉鳳路バス停下車","11:00~14:00、17:00~21:00、木曜日定休","約NT$210 より","www.facebook.com/ 楓禾日秝蔬食養生鍋物-1510381025926296"
"赤崁爾樓","赤崁璽楼","乳製品使用、要望に応じて全菜食に変更可能","ZH、EN、JA","+886-6-224-5179","台南市中西区西門路二段372 巷10 号","77 番バス赤崁楼バス停下車","11:30~14:30、17:30~21:00","約NT$480 より","www.facebook.com/ 赤崁璽楼- 原禅食餐庁-836238249780107"
"桂田蔬食","桂田蔬食","全菜食料理乳製品卵使用","ZH、EN","+886-6-600-1300 ","台南市永康区永安一街99号2階 ","5番バス桂田ホテルバス停下車 ","11:30~14:00、17:30~21:00 ","約NT$80より","www.queenaplaza.com"
"月光咖啡館","月光咖啡館","全菜食料理乳製品卵使用","ZH、EN","+886-6-290-4749 ","台南市東区崇明路405号2階 ","文化センターバス停下車 ","10:00~20:00 ","約NT$150より ","www.facebook.com/月光咖啡館-1037711596263116"
"穀粒自然風味","穀粒自然風味","全菜食料理","ZH、EN","+886-6-292-9797","台南市中西区永華一街148 巷15 号","0 右番バスにて家楽福バス停下車","平日16:30~22:00、休日11:00~14:00、17:00~22:00","約NT$280 より","www.facebook.com/guli.242"
"好野菜","好野菜","乳製品使用、要望に応じて全菜食に変更可能","ZH、EN","+886-7-722-9629","高雄市苓雅区広州一街127 之4 号","MRT 文化センター駅下車","11:30~14:00、17:30~20:30、火曜日定休","約NT$120 より","www.facebook.com/ 好野菜-798748896949595"
"Double Veggie蔬食百匯","Double Veggie 蔬食百匯","全菜食料理、卵乳製品 5種香辛料使用","ZH、EN、JA","+886-7-973-3586","高雄市新興区中山一路 280号","MRT 美麗島駅から徒歩4 分","朝食 07:00~10:00、昼食11:30~14:00、 夕食 17:30~21:00","約 NT$438より","www.facebook.com/doubleveggie"
"耶蔬蔬食美式餐廳","耶蔬蔬食美式餐庁","全菜食料理","ZH、EN","+886-7-285-1219","高雄市前金区六合二路 129 号 ","MRT 市議会駅から徒歩 6 分 ","09:00~21:30、水曜日定休","約 NT$150 より ","www.facebook.com/yesuvegan/"
"Flavor自然樸食","Flavor 自然樸食","全菜食料理乳製品使用","ZH、EN","+886-7-722-0210","高雄市苓雅区林泉街6-2 号","MRT 文化センター駅から徒歩10 分","11:30~14:30、17:00~20:00、月曜日定休","約NT$190 より","www.facebook.com/flavor2210/"
"愛客漢堡蔬食概念館","愛客漢堡蔬食概念館","全菜食料理乳製品使用","ZH、EN","+886-7-341-1433","高雄市左営区崇徳路290 号","MRT 生態パーク駅から徒歩5 分","11:00~21:00、火曜日定休","約NT$60 より","www.facebook.com/ECOxBURGER/"
"漢來蔬食巨蛋店","漢来蔬食巨蛋店","乳製品卵使用","ZH、EN","+886-7-555-2882 ","高雄市左営区博愛二路777号5階 ","MRT巨蛋駅 ","平日11:30~14:30、17:30~21:00、休日11:00~21:00 ","約NT$500より ","www.hilai-foods.com.tw"
"鳳山揪棧","鳳山揪桟","全菜食料理","ZH、EN","+886-938-373768 ","高雄市鳳山区鳳明街71号 ","MRT鳳山駅 ","平日11:00~17:00、金曜日、土曜日11:00~21:00、 日曜日11:00~18:00、月曜日、火曜日定休 ","約NT$150より ","zh-tw.facebook.com/FongshanLIFE"
"打舖2號店-愛心幼稚園","打舖2 号店—愛心幼稚園","全菜食料理乳製品使用","ZH、EN","+886-8-723-1585","屏東県屏東市民享一路161 号","屏東駅からP-bike がレンタル可能","11:00~21:00、火曜日定休","約NT$200 より","www.facebook.com/Table2Cafe"
"Eake Place Coffee House","Eske Place Coffee House","乳製品卵使用","ZH、EN","+886-8-722-6266","屏東県屏東市民享路142 号","屏東駅からP-bike がレンタル可能","08:00~17:30、月曜日、火曜日定休","約NT$200 より","www.facebook.com/eskeplace"
"Farmers' Kitchen有機蔬食","Farmers' Kitchen 有機蔬食","菜食の一部は全菜食料理に変更可能","ZH、EN、FR","+886-38-322-810","花蓮県花蓮市中山路407 号","花蓮駅より車で約6 分","07:30~16:30、月曜日定休","約NT$158 より","farmerkitchen.foodstore.cc"
"Double Veggie蔬果百匯","Double Veggie 蔬果百匯","全菜食料理、5 種香辛料、卵、乳製品使用","ZH、EN、JA","+886-38-900-68","花蓮県花蓮市中正路396 号","花蓮からバスに乗り、中正バス停で下車","06:30~10:00、11:30~14:00","約NT$318 より","www.facebook.com /Places/Hualian City"
"花草空間","花草空間","乳製品卵使用","ZH、EN","+886-38-314-959 ","花蓮県花蓮市博愛街 140号 ","花蓮駅から車で10 分","12:00~22:00、月曜日定休 ","約NT$200より ","www.facebook.com/flowerspace970"
"台東衛爾淨生活館","台東衛爾淨生活館","全菜食料理乳製品卵使用","ZH、EN","+886-89-346-218 ","台東県台東市杭州街217号 ","台東駅ターミナルからバスに乗車し、浙江路バス停で下車","11:30~14:00、17:30~20:00、火曜日定休 ","約NT$200より ","www.facebook.com/youlovewww"
"夏安居草食堂","夏安居草食堂","全菜食料理","ZH","+886-89-222-646","台東県台東市中興路一段147 号","旧県議会バス停から徒歩10 分","11:30~14:00、17:30~21:00、日曜日定休","約NT$130 より","www.facebook.com/ 台東- 夏安居草食堂-545775992218857"
"有時散步 Walkabout café","有時散步Walkabout Café","菜食の一部は全菜食料理に変更可能","ZH、EN","+886-89-341-891","台東県台東市南京路113 号","台東バスターミナルより徒歩7 分","07:00~14:00（ラストオーダー13:00）、火曜日、水曜日定休","約NT$100 より","www.facebook.com/ 有時散歩-Walkabout-Café-105543579518730"
"聖母健康會館","聖母健康会館","5種香辛料卵使用","ZH","+886-89-345-719 ","台東県台東市南京路77号 ","台東バスターミナルより徒歩9 分 ","07:00~09:00、11:30~13:30、17:30~20:30 ","約NT$200より ","www.healthclub.org.tw/3_Meal_3.htm"
"好朋友素食屋","好朋友素食屋","全菜食料理","ZH、EN","+886-6-926-1158","澎湖県馬公市三多路320号 ","馬公市役所から徒歩22 分 ","10:00~14:00、17:00~21:00、木曜日の夜休み ","約NT$100より",
"永興健康素食","永興健康素食","全菜食料理乳製品使用","ZH、EN","+886-6-926-8605 ","澎湖県馬公市大智街18巷20弄20号 ","馬公市役所から徒歩14 分 ","06:00~19:30、木曜日06:00~13:30 ","約NT$180より ","www.facebook.com/YongXingSuShiGuan"
"蔡記饌蔬食坊","蔡記饌蔬食坊","全菜食料理乳製品使用","ZH、EN","+886-963-229-216 ","澎湖県馬公市文昌街11号 ","馬公市役所から徒歩13 分 10:00~14:00、16:30~19:30 約NT$80より www.facebook.com/TsaiVR",,,
"永達素食館","永達素食館","全菜食料理乳製品使用","ZH、EN","+886-6-926-1705、+886-932-815-658","澎湖県馬公市新生路27 号","馬公市役所から徒歩14 分","09:30~14:00、16:30~20:00","約NT$60 より",
"湶民水果餐創意料理","湶民水果餐創意料理","事前に予約すれば全菜食料理可能","ZH","+886-82-324-489","金門県金寧郷伯玉路二段224 巷8 号","金門空港から車で約10 分","12:00~14:00、18:00~20:00、事前に予約が必要、月曜日定休","約NT$605 より",
"福澳村素食園","福澳村素食園","全菜食料理卵使用","ZH","+886-83-622-848","連江県南竿郷福澳村80 号　","福澳港埠頭から徒歩約10 分","06:00~19:00","約NT$50 より",
