"客戶名稱","客戶名稱1","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址"
"之間茶食器","즈졘 ( 之間) 티하우스 (Between TeaHouse)","완전채식 위주( 조정 가능 )","ZH、EN","+886-2-2629-7709","신베이시 단수이구 중정로 330 호","타이베이 MRT 단수이역에서 위런마터우 ( 漁人碼頭)홍 26 번 버스 탑승 , 샤오바이궁 ( 小白宮) 정류장 하차","11:30~21:30","NT$140 부터","zh-tw.facebook.com/BetweenTeaHouse"
"舒果新米蘭蔬食 中美店","수구어 ( 舒果) 뉴밀라노 베지테리언 레스토랑","계란채식 ( 주문시 완전채식 가능 )","ZH、EN","+886-3-426-2652 ","타오위안시중리구중미로 51 호","중리기차역도보 8 분","평일 11:30~14:30, 17:30~21:30, 휴일 11:30~14:30, 17:30~22:00","NT$438 부터","www.sufood.com.tw"
"艾維農歐風素食 藝文畫廊","아비뇽 베지테리언 레스토랑 ( 艾維農) ×예문화랑","완전채식 및 계란채식","ZH、EN","+886-3-358-1350","타오위안시 타오위안구 다예로 1 단 292 호","타오위안 ( 桃園 ) 기차역에서 버스 탑승 , 다예 ( 大業 ) 초교 정류장 하차 , 도보 3 분","11:30~14:00, 17:30~21:00","NT$380 부터","avignonrestaurant.com"
"漢來蔬食 桃園店","한라이 ( 漢來) 채식 타오위안점","완전채식 및 계란채식","ZH、EN","+886-3-312-5222","타오위안시 루주구 난칸로 1 단 112 호 6F","타오위안 ( 桃園) 시외버스 ( 타오위안 공항 방면 ) 탑승 ,타이마오 ( 台茂) 정류장 하차","평일 11:30~21:00, 휴일 11:00~21:00","NT$500 부터","www.hilai-foods.com/zh_TW/brand/vegetarian"
"綜也蔬食","중예 ( 綜也) 채식","완전 채식","ZH、EN","+886-3-522-4492","신주시 베이구 신스졔가 114 호","신주 ( 新竹) 기차역에서 도보 11 분","11:30~13:30, 17:30~20:00 ( 매주 수 , 일 휴일 )","NT$170 부터","www.facebook.com/TzungYe.Vegan"
"井町日式蔬食料理","징딩 ( 井町) 일식 채식식당","완전채식 및 계란채식","ZH、EN","+886-3-525-3158 ","신주시 북구 다퉁로 135호 ","신주(新竹)기차역에서 도보 10분 ","11:30~14:00, 17:30~21:00 ","NT$100부터 ","www.facebook.com/井町-330154540435960/"
"日勝客家蔬食","르성 ( 日勝) 객가채식","완전채식","ZH、EN","+886-3-588-2106 ","신주현 신푸진 중정로329호 ","신주(新竹)기차역에서 버스 환승, 시장앞(市場前) 정류장 하차 ","10:30~15:30 (매주 수 휴무) ","NT$80부터 ","www.facebook.com/sunrise5882106"
"一簞食˙蔬食生活","일단식 ( 一簞食) X 채식 생활","우유채식","ZH、EN","+886-3-931-1993","이란현 이란시 진스로 101 호","이란 기차역 앞 정류장에서 【751】【753】, 이란 기차역 앞 우저우 민박 정류장에서 【1786】버스에 탑승한후 , 【즈치앙로 입구 정류장】에서 하차하시면 바로 도착할 수 있습니다 .","08:00~14:00 ( 매주 일 , 월 휴무 )","NT$80 부터","zh-tw.facebook.com/eatdansu/"
"有機大地健康蔬食餐廳","유기농대지 웰빙채식 레스토랑 ( 有機大地)","완전채식 및 계란채식","ZH、EN","+886-3-987-539","이란현 자오시향 중산로 2 단 51 호","자오시 ( 礁溪) 기차역에서 도보 6 분","평일 08:00~20:00, 휴일 06:00~20:00 (매주 일휴무 )","NT$160 부터","www.facebook.com/YouJiDaDe/"
"I-Su 艾蔬食","I-su 채식당","완전채식 위주( 주문시 완전채식 가능 )","ZH、EN","+886-3-746-1932","먀오리현 주난진 다잉로 1 호","주난 ( 竹南) 고교 버스 정류장 하차","11:30~14:30, 17:00~21:00 ( 매주 화 휴무 )","NT$199 부터","www.i-su.com.tw"
"卓也小屋度假園區","줘예샤오우 ( 卓也小屋) 리조트","완전채식 및 계란채식","ZH、EN","+886-3-787-9198","먀오리현 산이향 솽탄촌 13 린벙산샤 1-5 호","펑위안 ( 豐原) 운수 버스 , 산이시후 ( 三義西湖) 리조트 버스 정류장 하차 하차 후 셔틀버스 ( 평일 일 ~ 목운행 ) 환승 또는 택시로 이동","평일 점심 11:30~14:00, 휴일 점심 11:00~12:30,13:00~14:30, 저녁 17:00~20:00","NT$499 부터","www.joye.com.tw"
"斐麗巴黎廳","필링 ( 斐麗) 파리청","완전채식또는 우유채식 ,계란채식","ZH、EN","+886-4-2376-8089","타이중시 시구 우췐시 6 가 20 항 2 호","우췐시 ( 五權西) 와 중밍난 ( 忠明南) 로 교차로 버스 정류장 하차","11:30~14:30, 17:30~21:30","NT$660 부터","feeling.com.tw"
"澄石咖啡蔬食廚坊chensveg 東興店","청스 ( 澄石) 커피 ( 둥싱점 )","완전채식 또는 우유채식, 계란채식","ZH、EN","+886-4-2326-8933 ","타이중시 난둔구 둥싱로3단221호 ","둥싱궁이(東興公益)로 입구 버스 정류장 하차 ","10:00~22:00 ","NT$297부터 ","www.facebook.com/ChengShiShuShiKaFeiChuFangchens vegDongXingDian"
"熱浪島南洋蔬食茶堂-直營旗艦店","러랑다오 ( 熱浪島) 남태평양 채식 티하우스 ( 직영본점 )","우유채식 또는 계란채식","ZH、EN、JA","+886-4-2380-1133"," 타이중시 난둔구 샹상로3단 536호 ","상환중(上環中)로 입구 버스 정류장 하차 ","11:00~21:30 ","NT$269부터 ","www.pulau-redang.com"
"曙光居蔬食料理","아침햇살이 비치는 집 ( 曙光居)","완전 채식","ZH、EN","+886-4-2329-2322","타이중시 시둔구 다둔 18 가 104 호","다둔 18 가 입구 버스 정류장 하차","17:00~21:00 ( 매주 일 휴무 )","NT$200 부터","www.facebook.com/hsiaanchu"
"卡如那泰式素食 ","카루나 ( 卡如那) 태국 채식","완전채식 및 우유채식","ZH、EN","+886-4-2285-6210 ","타이중시 난구 궈광로216-1호 ","궈광(國光)초교 버스 정류장 하차 ","11:00~15:00, 16:30~21:00 (매주 수 휴무) ","NT$100부터 ","www.facebook.com/mercy.thai/?sw_fnr_ id=2016924308&fnr_t=0"
"養素庭迴轉火車素食火鍋","양수팅 ( 養素庭) 회전기차 채식 샤브샤브","완전채식 및 계란채식","ZH、EN","+886-4-2241-1585 ","타이중시 베이둔구 충더로2단208호 ","충더선양(崇德瀋陽)로 입구 버스 정류장 하자 ","11:00~14:00, 17:00~20:30 ","NT$368부터 ","www.yst5268.com.tw/"
"天慈健康素食","톈츠 ( 天慈) 웰빙채식","완전채식 및 계란채식","ZH、EN","+886-4-2236-1699 ","타이중시 베이둔구 창핑로1단44호 ","창핑베이둔(昌平北屯)로 입구 버스 정류장 하차 ","11:00~13:30, 17:00~19:30 (매주 토, 일 휴무) ","NT$60부터",
"藝畝田人文蔬食餐廳","이무톈 ( 藝畝田) 채식 레스토랑","계란채식 ( 주문시 완전채식 가능 )","ZH、EN","+886-4-2407-0384","타이중시 다리구 둥싱로 528 호","원신난로 1273 항 입구 버스정류장에서 도보로 7 분","11:30~14:00, 17:30~21:00","NT$150 부터","0424070384.boncity.com/E49"
"德慧素食生活館","더후이 ( 德慧) 채식생활관","완전채식 및 계란채식","ZH、EN","+886-4-2623-3685","타이중시 칭수이구 우췐동로 178 호","우췐동전신 ( 五權東鎮新) 로 입구 버스 정류장 하차","11:00~19:30 ( 매주 월 휴무 )","NT$200 부터","www.facebook.com/DeHueiVegetarian/"
"Veges M 饗蔬職人","베지스 M(Veges M) 데침 요리 전문점","계란채식 또는 우유채식","ZH、EN","+886-4-2451-2123 ","타이중시 시둔구 리에메이가 108호 ","펑자(逢甲)대학 푸싱(福星)로 버스 정류장 하차 ","12:00~14:30, 17:00~22:00 ","NT$130부터 ","www.facebook.com/vegesmone"
"空幾何˙自然時蔬百匯","콩지허 ( 空幾何) 자연채식요리","완전채식 또는우유채식,계란채식","ZH、EN","+886-4-711-2858 ","장화현 장화시 바오산로266호 ","차오츠팅(草慈亭) 버스 정류장 하차 ","매주 금~일 11:30~14:30, 17:00~20:30, 매주월~목 11:30~14:30 ","NT$680부터 ","www.facebook.com/kchvb"
"蔬食煮藝","쿠킹베지터블 채식당 ( 蔬食煮藝)","완전채식또는 우유채식 ,계란채식","ZH、EN","+886-4-728-6961","장화현 장화시 중화로 1 단 511 호","장화 ( 彰化) 기차역 인근 광난 ( 光南) 프라자","11:00~14:00, 17:00~20:00","NT$115 부터","www.facebook.com/cookingveget"
"拾金現代茶館","스진 ( 拾金) 모던티하우스","계란채식","ZH、EN","+886-4-2323-0909","타이중시 시구 다예로 38 호","둥싱 ( 東興) 초교 버스 정류장 하차","09:00~21:00","NT$180 부터","www.facebook.com/Shijintea"
"蒝味蔬食˙懷舊小吃","고향손맛 채식당 ( 蒝味)","완전채식또는 우유채식, 계란채식","ZH、EN","+886-4-728-9597 ","장화현 장화시 난궈로1단59호 ","화양(華陽)시장 버스 정류장 하차 ","11:00~14:00, 17:00~22:00 (매주 일 휴무) ","NT$80부터 ","www.facebook.com/circle2016/?fref=ts"
"艾草花舍","아이차오 ( 艾草) 가든도미토리","완전채식","ZH、EN","+886-5-597-1939 ","윈린현 더우난진 졘궈2로 199-1호 ","둥밍(東明)중학교 버스 정류장 하차 ","11:00~14:00, 17:00~21:00 ","NT$350부터 ","www.facebook.com/AiCaoHuaShe"
"田心心蔬食餐坊","스위트마인드 ( 田心心) 커피","완전채식","ZH、EN","+886-49-299-9351","난터우현 푸리진 중정 3 로 174 호","푸리시 ( 埔里西) 정류장 하차","11:00~14:00, 17:00~21:00 ( 매주 수 휴무 )","NT$200 부터","www.facebook.com/ 스위트마인드 ( 田心心)-121331261214846/"
"雅池園蔬食餐廳","야츠위안 ( 雅池園) 채식 레스토랑","완전채식 또는우유채식","ZH、EN","+886-919-724306","난터우현 푸리진 난환로 952 호","아이란차오 정류장 하차","11:30~20:00 ( 매주 수 휴무 )","NT$280 부터","www.facebook.com/YaChiYuanJianKangShuShi"
"楓禾日秝","펑허르리 ( 楓禾日秝) 샤브샤브","완전채식","ZH、EN","+886-5-276-1308","자이시 동구 민췐로 296 호","자이현버스 우펑 ( 吳鳳) 로 정류장 하차","11:00~14:00, 17:00~21:00 ( 매주 목 휴무 )","NT$210 부터","www.facebook.com/ 펑허르리 ( 楓禾日秝) 채식웰빙샤브샤브 -1510381025926296"
"赤崁爾樓","츠칸시러우 ( 赤崁璽樓) 채식 레스토랑","우유채식위주( 주문시 완전채식 가능)","ZH、EN、JA","+886-6-224-5179","타이난시 중시구 시먼로 2 단 372 항 10 호","77 번 버스 츠칸러우 정류장 하차","11:30~14:30, 17:30~21:00","NT$480 부터","www.facebook.com/ 赤崁璽樓- 原禪食餐廳 -836238249780107"
"桂田蔬食","구이톈 ( 桂田) 채식 레스토랑","완전채식 및 계란채식","ZH、EN","+886-6-600-1300 ","타이난시 융캉구 융안1가 99호 2F ","5번 버스 구이톈(桂田)호텔 정류장 하차 ","11:30~14:00, 17:30~21:00 ","NT$80부터 www.queenaplaza.com","NT$80부터 www.queenaplaza.com"
"月光咖啡館","월광카페 ( 月光)","완전채식 및 계란채식","ZH、EN","+886-6-290-4749 ","타이난시 동구 충밍루 405호 2F ","타이난시 버스 문화센터 정류장 하차 ","10:00~20:00 ","NT$150부터 ","www.facebook.com/ 월광카페-1037711596263116"
"穀粒自然風味","곡밀자연풍미 ( 榖粒)","완전채식","ZH、EN","+886-6-292-9797","타이난시 중시구 융화 1 가 148 항 15 호","0( 우로 ) 번 버스 까르푸 정류장 하차","평일 16:30~22:00, 휴일 11:00~14:00 , 17:00~22:00","NT$280 부터","www.facebook.com/guli.242"
"好野菜","하오예차이 ( 좋은 야채 )( 好野菜)","우유채식 위주( 주문시 완전채식 가능 )","ZH、EN","+886-7-722-9629","가오슝시 링야구 광저우 1 가 127-4 호","가오슝 지하철 문화센터역 하차","11:30~14:00, 17:30~20:30( 매주 화 휴무 )","NT$120 부터","www.facebook.com/ 하오예차이 ( 好野菜)-798748896949595"
"Double Veggie蔬食百匯","더블베지 채식 레스토랑 ( 蔬食百匯)","완전채식 및 계란채식 ( 파 , 양파 , 마늘 , 부추 , 염교 포함)","ZH、EN、JA","+886-7-973-3586","가오슝시 중산 1 로 280 호","가오슝 지하철 메이리다오역에서 도보 4 분","조찬 07:00~10:00, 오찬 11:30~14:00, 만찬 17:30~21:00 ","NT$438 부터","www.facebook.com/doubleveggie"
"耶蔬蔬食美式餐廳","예수 ( 耶蔬) 채식 레스토랑","완전채식","ZH、EN","+886-7-285-1219","가오슝시 리우허 2 로 129 호","가오슝 지하철 시의회역에서 도보 6 분","09:00~21:30 ( 매주 수 휴무 )","NT$150 부터","www.facebook.com/yesuvegan/"
"Flavor自然樸食","플레이버 (Flavor) 자연채식 레스토랑","완전채식 및 우유채식","ZH、EN","+886-7-722-210","가오슝시 린췐가 6-2 호","가오슝 지하철 문화센터역에서 도보 10 분","11:30~14:30, 17:00~20:00 ( 매주 월 휴무 )","NT$190 부터","www.facebook.com/flavor2210/"
"愛客漢堡蔬食概念館","아이커 ( 愛客) 햄버거 채식 컨셉트관","완전채식 및 계란채식","ZH、EN","+886-7-341-1433","가오슝시 줘잉구 충더로 290 호","가오슝 지하철 생태공원구역 도보 5 분","11:00~21:00 ( 매주 화 휴일 )","NT$60 부터","www.facebook.com/ECOxBURGER/"
"漢來蔬食巨蛋店","한라이 ( 漢來) 채식 아레나지점","계란채식","ZH、EN","+886-7-555-2882","가오슝 줘잉구 보아이2로 777호 5F ","가오슝 지하철 아레나역 ","평일 11:30~14:30, 17:30~21:00 휴일 11:00~21:00 ","NT$500부터 ","www.hilai-foods.com.tw"
"鳳山揪棧","펑산지우잔 ( 鳳山揪棧)","완전채식","ZH、EN","+886-938-373768","가오슝시 펑산구 펑밍가 71호 ","가오슝지하철 펑산역 ","수요일~목요일11 : 00~17 : 00,금요일~토요일11 :00~21 : 00,일요일11 : 00~18 : 00(월요일, 화요일 꺼짐) ","NT$150부터 ","zh-tw.facebook.com/FongshanLIFE"
"打舖2號店-愛心幼稚園","테이블 2 카페 - 사랑의 유치원","완전채식 또는우유채식","ZH、EN","+886-8-723-1585","핑동시 민샹 1 로 161 호","핑동기차역 P-Bike 대여 가능","11:00~21:00 ( 매주 화 휴무 )","NT$200 부터","www.facebook.com/Table2Cafe"
"Eake Place Coffee House","에스크 플레이스 커피하우스 (Eske Place)","계란채식","ZH、EN","+886-8-722-6266","핑동시 민샹로 142 호","핑동 ( 屏東) 기차역 P-Bike 대여 가능","08:00~17:30 ( 매주 월 , 화 휴무 )","NT$200 부터","www.facebook.com/eskeplace"
"Farmers' Kitchen有機蔬食","파머스 키친 (Farmers' Kitchen) 유기농 채식","계란채식 ( 주문시 완전채식 가능 )","ZH、EN、FR","+886-38-332-810","화롄시 중산로 407 호","화롄기차역에서 차량으로 6 분","07:30~16:30 ( 매주 월 휴무 )","NT$158 부터","farmerkitchen.foodstore.cc"
"Double Veggie蔬果百匯","더블베지 레스토랑 ( 蔬果百匯)","완전채식 및 계란채식 ( 파 , 양파 , 마늘 , 부추 ,염교 포함 )","ZH、EN、JA","+886-38-900-068","화롄시 중정로 396 호","화롄 ( 花蓮) 기차역에서 버스로 환승 , 중정 ( 中正) 버스정류장 하차","06:30~10:00, 11:30~14:00","NT$318 부터","www.facebook.com /Places/Hualian City"
"花草空間","화초공간 ( 花草空間)","계란채식","ZH、EN","+886-38-314-959","화롄시 보아이가 140 호","화롄기차역에서 차량으로 10 분","12:00~22:00 ( 매주 월 휴무 )","NT$200 부터","www.facebook.com/flowerspace970"
"台東衛爾淨生活館","타이둥 웰칸다 (Welkanda) 생활관 ( 衛爾淨)","완전채식 및 우유채식","ZH、EN","+886-89-346-218","타이둥현 타이둥시 항저우가 217 호","타이둥 버스터미널에서 시내 버스로 저장 ( 浙江) 로 정류장 하차","11:30~14:00, 17:30~20:00 ( 매주 화 휴무 )","NT$200 부터","www.facebook.com/youlovewww"
"夏安居草食堂","샤안쥐 ( 夏安居) 채식당","완전채식","ZH","+886-89-222-646","타이둥시 중싱로 1 단 147 호","지우현 이후이 정류장에서 도보로 10 분","11:30~14:00, 17:30~21:00 ( 매주 일 휴무 )","NT$130 부터","www.facebook.com/ 台東- 夏安居草食堂- 545775992218857"
"有時散步 Walkabout café","워크어바웃 카페 (Walkabout Café)","계란채식 ( 주문시 완전채식 가능 )","ZH、EN","+886-89-341-891","타이둥시 난징로 113 호","타이둥 ( 台東) 버스터미널에서 도보 7 분","07:00~14:00( 단 , 주문 13:00 이전까지 , 매주 화 ,수 휴무 )","NT$100 부터","www.facebook.com/ 有時散步-Walkabout- Café-"
"聖母健康會館","성모건강회관 ( 聖母健康會館)","계란채식 ( 파 ,양파 , 마늘 , 부추 , 염교 포함 )","ZH","+886-89-345-719","타이둥시 난징로 77 호","타이둥 ( 台東 ) 버스터미널에서 도보 9 분","조찬 07:00~09:00, 오찬 11:30~13:30, 만 찬17:30~20:30","NT$200 부터","www.healthclub.org.tw/3_Meal_3.htm"
"好朋友素食屋","좋은 친구 베지테리언 하우스 ( 好朋友)","완전채식","ZH、EN","+886-6-926-1158","펑후현 마궁시 산두어로 320 호","마궁시 주민센터에서 도보로 22 분","10:00~14:00, 17:00~21:00 ( 매주 목 저녁 휴무 )","NT$ 100 부터",
"永興健康素食","융싱 ( 永興) 건강채식","완전채식 및 우유채식","ZH、EN","+886-6-926-8605","펑후현 마궁시 다즈가 18 항 20 농 20 호","마궁주민센터에서 도보로 14 분","06:00~19:30, 목 06:00~13:30","NT$180 부터","www.facebook.com/YongXingSuShiGuan"
"蔡記饌蔬食坊","차이지잔 ( 蔡記饌) 채식방","완전채식 및 우유채식","ZH、EN","+886-963-229-216","펑후현 마궁시 원창가 11 호","마궁주민센터에서 도보 13 분","10:00~14:00, 16:30~19:30","NT$80 부터","www.facebook.com/TsaiVR"
"永達素食館","융다 ( 永達) 채식관","완전채식 및 우유채식","ZH、EN","+886-6-926-1705, 휴대전화 , 886-932-815-658","펑후현 마궁시 신성로 27 호","마궁시주민센터에서 도보 14 분","09:30~14:00, 16:30~20:00","NT$60 부터",
"湶民水果餐創意料理","췐민 ( 湶民) 과일 퓨전레스토랑","선주문시 완전채식 가능","ZH","+886-82-324-489","진먼현 진닝향 보위로 2 단 224 항 8 호","진먼 ( 金門) 공항에서 차량으로 10 분","12:00~14:00, 18:00~20:00 ( 예약 요망 , 매주 월휴무 )
","NT$ 605 부터",
"福澳村素食園","푸아오춘 ( 福澳村) 채식가든","완전 채식 및 계란채식","ZH","+886-83-622-848","롄장현 난간향 푸아오촌 80 호　","푸아오 ( 福澳) 항 선착장에서 도보로 10 분","06:00~19:00","NT$50 부터",
