"客戶名稱","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址","座標位置"
"澄石咖啡蔬食廚坊chensveg 東興店","全素、奶蛋素、奶素","中文、英文","(  +886-4-2326-8933","台中市南屯區東興路三段221號"," 公車東興公益路口站","10:00~22:00"," 約NT$297元"," www.facebook.com/ChengShiShuShiKaFeiChuFangchensvegDongXingDian","24.152472,120.652930"
"熱浪島南洋蔬食茶堂-直營旗艦店","奶蛋素、奶素","中文、英文、日文","(  +886-4-2380-1133","台中市南屯區向上路三段536號","公車向上環中路口站"," 11:00~21:3"," 約NT$269元"," www.pulau-redang.com","24.145074,120.624293"
"曙光居蔬食料理","全素","中文、英文","(  +886-4-2329-2322","台中市西屯區大墩十八街104號"," 公車大墩十八街口站"," 17:00~21:00，週日休"," 約NT$200元","www.facebook.com/hsiaanchu","24.157504,120.648893"
"卡如那泰式素食 ","全素、奶素","中文、英文","(  +886-4-2285-6210","台中市南區國光路216-1號","公車國光國小站"," 11:00~15:00、16:30~21:00，週三休"," 約NT$100元"," www.facebook.com/mercy.thai/?sw_fnr_id=2016924308&fnr_
t=0","24.125879,120.679164"
"養素庭迴轉火車素食火鍋","全素、奶蛋素","中文、奶蛋素","(  +886-4-2241-1585"," 台中市北屯區崇德路二段208號","公車崇德瀋陽路口站","11:00~14:00、17:00~20:30"," 約NT$368元"," www.yst5268.com.tw/","24.173808,120.685826"
"天慈健康素食","全素、奶蛋素","中文、英文","(  +886-4-2236-1699","台中市北屯區昌平路一段44號"," 公車昌平北屯路口站"," 11:00~13:30、17:00~19:30，週六、週日休"," 約NT$60元","無","24.167711,120.693499"
"藝畝田人文蔬食餐廳","奶蛋素、部分餐點可改全素","中文、英文","(  +886-4-2407-0384","台中市大里區東興路528號"," 公車文心南路1273巷口站，步行7分鐘"," 11:30~14:00、17:30~21:00"," 約NT$150元"," 0424070384.boncity.com/","24.102687,120.662649"
"德慧素食生活館","全素、奶蛋素","中文、英文","(  +886-4-2623-3685","台中市清水區五權東路178號"," 公車五權東鎮新路口站"," 11:00~19:30，週一休"," 約NT$200元","www.facebook.com/DeHueiVegetarian/","24.275198,120.571979"
"Veges M 饗蔬職人","奶蛋素、奶素","中文、英文","(  +886-4-2451-2123","台中市西屯區烈美街108號"," 公車逢甲大學福星路站","12:00~14:30、17:00~22:00"," 約NT$130元","www.facebook.com/vegesmone","24.179466,120.642576"
"空幾何˙自然時蔬百匯","全素、奶蛋素、奶素","中文、英文","(  +886-4-711-2858"," 彰化縣彰化市寶山路266號"," 公車草慈亭站","週五~日11:30~14:30、17:00~20:30，週一~四11:30~14:30
"," 約NT$680元","www.facebook.com/kchvb","24.061297,120.561062"
"蔬食煮藝","全素、奶蛋素、奶素","中文、英文","(  +886-4-728-6961","彰化縣彰化市中正路一段511號"," 彰化火車站附近光南商場"," 11:00~14:00、17:00~20:00"," 約NT$115元","www.facebook.com/cookingveget","24.081963,120.540814"
"拾金現代茶館","奶蛋素","中文、英文","(  +886-4-2323-0909","台中市西區大業路38號"," 公車東興國小站"," 09:00~21:00 "," 約NT$180元"," www.facebook.com/Shijintea","24.153893,120.653894"
"蒝味蔬食˙懷舊小吃","全素、奶蛋素、奶素","中文、英文","(   +886-4-728-9597","彰化縣彰化市南郭路一段59號"," 公車華陽市場站","11:00~14:00、17:00~22:00，週日休"," 約NT$80元"," www.facebook.com/circle2016/?fref=ts
","24.075240,120.545536"
"艾草花舍","全素","中文、英文","(   +886-5-597-1939"," 雲林縣斗南鎮建國二路199-1號"," 公車東明國中站"," 11:00~14:00、17:00~21:00"," 約NT$350元"," www.facebook.com/AiCaoHuaShe","23.679314,120.469903"
"田心心蔬食餐坊","全素","中文、英文","(   +886-49-299-9351"," 南投縣埔里鎮中正三路174號"," 公車埔里西站","11:00~14:00、17:00~21:00，週三休","約NT$200元","www.facebook.com/田心心蔬食餐坊-12133126

 1214846/","23.971089,120.965260"
"雅池園蔬食餐廳","全素、奶素","中文、英文","(   +886-919-724306"," 南投縣埔里鎮南環路952號"," 公車愛蘭橋站"," 11:30~20:00，週三休"," 約NT$280元"," www.facebook.com/YaChiYuanJianKangShuShi","23.966843,120.948270"
"楓禾日秝","全素","中文、英文","(   +886-5-276-1308","嘉義市東區民權路296號","公車吳鳳路站下"," 11:00~14:00、17:00~21:00，週四休","約NT$210元"," www.facebook.com/楓禾日秝蔬食養生鍋物

 -1510381025926296","23.482691,120.451687"
"赤崁爾樓","奶素為主、部分餐點可改全素","中文、英文、日文","(   +886-6-224-5179","台南市中西區西門路二段372巷10號","77路公車赤崁樓站下"," 11:30~14:30、17:30~21:00"," 約NT$480元"," www.facebook.com/赤崁璽樓-原禪食餐廳

 -836238249780107","22.990818,120.198178"
"桂田蔬食","全素、奶蛋素","中文、英文","(   +886-6-600-1300"," 台南市永康區永安一街99 號2 樓"," 5 路公車桂田酒店站下"," 11:30~14:00、17:30~21:00"," 約NT$80 元","www.queenaplaza.com","23.044079,120.242904"
"月光咖啡館","全素、奶蛋素","中文、英文","(   +886-6-290-4749"," 台南市東區崇明路405 號2 樓","公車文化中心站下","10:00~20:00","約NT$150元","www.facebook.com/ 月光咖啡館-1037711596263116","22.973737,120.223959"
"穀粒自然風味","全素","中文、英文","(   +886-6-292-9797","台南市中西區永華一街148巷15號","0右路公車家樂福站","平日16:30~22:00 ，假日11:00~14:00、17:00~22:00","約NT$280元","www.facebook.com/guli.242","22.991823,120.189944"
"好野菜","奶素為主、部分餐點可改全素","中文、英文","(   +886-7-722-9629","高雄市苓雅區廣州一街127之4號","捷運文化中心站下"," 11:30~14:00、17:30~20:30，週二休","約NT$120元"," www.facebook.com/好野菜-798748896949595","22.623241,120.317324"
"Double Veggie蔬食百匯","全素、奶蛋素、五辛素","中文、英文、日文","(   +886-7-973-3586","高雄市新興區中山一路280 號","捷運美麗島站徒步4分"," 早餐07:00~10:00、午餐11:30~14:00、晚餐17:30~21:00","約NT$438元","www.facebook.com/doubleveggie","22.635456,120.302551"
"耶蔬蔬食美式餐廳","全素","中文、英文","(   +886-7-285-1219","高雄市前金區六合二路129 號","捷運市議會站徒步6分"," 09:00~21:30，週三休","約NT$150元","www.facebook.com/yesuvegan/","22.631208,120.296801"
"Flavor自然樸食","全素、奶素","中文、英文","(   +886-7-722-0210","高雄市苓雅區林泉街6-2 號"," 捷運文化中心站徒步10分","11:30~ 14:30 、 17:00 ~20:00，週一休"," 約NT$190元","www.facebook.com/flavor2210/","22.623780,120.320011"
"愛客漢堡蔬食概念館","全素、奶蛋素","中文、英文","(   +886-7-341-1433","高雄市左營區崇德路290號"," 捷運生態園區站徒步5分"," 11:00~21:00，週二休"," 約NT$60元"," www.facebook.com/ECOxBURGER/","22.676137,120.303531"
"漢來蔬食巨蛋店","奶蛋素","中文、英文","(   +886-7-555-2882","高雄市左營區博愛二路777號5樓","捷運巨蛋站","平日11:30~14:30、17:30~21:00，假日11:00~21:00","約NT$500元"," www.hilai-foods.com.tw","22.669997,120.302775"
"鳳山揪棧","全素","中文、英文","(   +886-938-373768","高雄市鳳山區鳳明街71號","捷運鳳山站","週三、週四11:00~17:00，週五、週六 
11:00~21:00，週日11:00~18:00，週一、週二休"," 約NT$150元"," zh-tw.facebook.com/FongshanLIFE","22.627049,120.359027"
"打舖2號店-愛心幼稚園","全素、奶素","中文、英文","(   +886-8-723-1585","屏東縣屏東市民享一路161 號","可於屏東火車站租P-bike"," 11:00~21:00，週二休","約NT$200元","www.facebook.com/Table2Cafe","22.675295,120.498226"
"Eake Place Coffee House","奶蛋素","中文、英文","(   +886-8-722-6266","屏東縣屏東市民享路142 號","可於屏東火車站租P-bike","08:00~17:30，週一、週二休"," 約NT$200元"," www.facebook.com/eskeplace","22.675133,120.499460"
"Farmers' Kitchen有機蔬食","蔬食、部分餐點可改全素","中文、英文、法文","(   +886-38-332-810"," 花蓮縣花蓮市中山路407 號","花蓮火車站開車約6分"," 07:30~16:30，週一休","約NT$158元","farmerkitchen.foodstore.cc","23.982370,121.605040"
"Double Veggie蔬果百匯","全素、奶蛋素、五辛素","中文、英文、日文","(   +886-38-900-068","花蓮縣花蓮市中正路396 號","花蓮火車站轉搭公車，中正站下","06:30~10:00、11:30~14:00"," 約NT$318元","www.facebook.com /Places/Hualian City","23.974661,121.603764"
"花草空間","奶蛋素","中文、英文","(   +886-38-314-959","花蓮縣花蓮市博愛街140 號"," 花蓮火車站坐車10分","12:00~22:00，週一休"," 約NT$200元","www.facebook.com/flowerspace970","23.977431,121.606411"
"台東衛爾淨生活館","全素、奶素","中文、英文","(   +886-89-346-218","台東縣台東市杭州街217號"," 台東轉運站轉公車浙江路站","11:30~14:00 、 17:30~20:00，週二休","約NT$200元","www.facebook.com/youlovewww","22.762369,121.146549"
"夏安居草食堂","全素","中文","(   +886-89-222-646","台東縣台東市中興路一段147 號","舊縣議會站徒步10分","11:30~14:00、17:30~21:00，週日休"," 約NT$130元","www.facebook.com/台東-夏安居草食
堂- 545775992218857","22.767904,121.144597"
"有時散步 Walkabout café","蔬食、部分餐點可改全素","中文、英文","(   +886-89-341-891","台東縣台東市南京路113 號"," 台東轉運站徒步7分","07:00~14:00（最後點餐13:00）， 週二、週三休","約NT$100元","www.facebook.com/有時散步-Walkabout-

 Cafe-105543579518730","22.758001,121.147681"
"聖母健康會館","五辛素、蛋素","中文","(   +886-89-345-719"," 台東縣台東市南京路77 號","台東轉運站徒步9分","07:00~09:00、11:30~13:30、17:30~20:30","約NT$200元"," www.healthclub.org.tw/3_Meal_3.htm","22.757780,121.147505"
"好朋友素食屋","全素","中文、英文","(   +886-6-926-1158","澎湖縣馬公市三多路320號"," 馬公市公所徒步22分","10:00~14:00、17:00~21:00，週四晚休","約NT$100元","無","23.577274,119.572299"
"永興健康素食","全素、奶素","中文、英文","(   +886-6-926-8605","澎湖縣馬公市大智街18巷20弄20號","馬公市公所徒步14分","06:00~19:30，週四06:00~13:30","約NT$180元"," www.facebook.com/YongXingSuShiGuan","23.570875,119.571975"
"蔡記饌蔬食坊","全素、奶素","中文、英文","(   +886-963-229-216","澎湖縣馬公市文昌街11號","馬公市公所徒步13分","10:00~14:00、16:30~19:30"," 約NT$80元","www.facebook.com/TsaiVR","23.573714,119.578957"
"永達素食館","全素、奶素","中文、英文","(   +886-6-926-1705，+886-932-815-658","澎湖縣馬公市新生路27號"," 馬公市公所徒步14分","09:30~14:00、16:30~20:00"," 約NT$60元","無","23.568086,119.568739"
"湶民水果餐創意料理","事先預約可改奶素","中文","(   +886-82-324-489","金門縣金寧鄉伯玉路二段224巷8號","金門機場搭車約10分","12:00~14:00、18:00~20:00，需事先預約，週一休"," 約NT$605元","無","24.441293,118.338119"
"福澳村素食園","全素、蛋素","中文","(  +886-83-622-848"," 連江縣南竿鄉福澳村80號"," 福澳港碼頭步行約10分","06:00~19:00"," 約NT$50元","無","26.157234,119.943398"
"極樂寺滴水坊","全素、奶蛋素","中文","+886-2-2423-1141-8#505","基隆市信義區信二路270號","基隆火車站徒步15分","11：00~20：00","約 NT$100 元","www.fgsthouse.com.tw","25.130659,121.747298"
"SU 蔬食料理","全素、奶蛋素","中文、英文","( +886-2-2894-6428 )","台北市北投區光明路228號","捷運新北投站徒步4分","11:00~21:00","約 NT$230 元","www.su-veges.com","25.135874,121.505804"
"毫光回田蔬苑","全素、奶蛋素","中文、英文","( +886-2-2883-2168 )","台北市士林區中正路357號","捷運士林站徒步7分","11:00~14:00 、17:00~21:00","約 NT$150 元","www.hawkuang.com","25.094301,121.522190"
"北平金廚新蔬食料理","全素、奶蛋素","中文","( +886-2-2873-8680","台北市士林區天母西路38巷3號","捷運石牌站轉乘公車，齊福華廈站下","11:30~14:00、17:00~21:00","約 NT$300 元","www.facebook.com/jinchu3803","25.118158,121.526227"
"Chamkar蔬食","蔬食、部分餐點可改全素","中文、英文、日文","(  +886-2-2838-3400","台北市士林區忠誠路2段50巷7號","捷運芝山站下，改搭公車或大葉高島屋百貨公司免費專車，蘭雅國中公車站下","11:30~15:00、17:00~21:30，週一休","約 NT$160 元","www.facebook.com/chamkarvegetarian","25.110726,121.530073"
"Herban Kitchen & Bar二本餐廳","蔬食、部分餐點可改全素","中文、英文","(  +886-2-8773-7033","台北市大安區忠孝東路四段101巷27號","捷運忠孝敦化站徒步3分","12:00~23:00","約 NT$280 元","tripmoment.com/Trip/18285","25.042963,121.548166"
"果然匯 (饗食天堂集團)","全素、奶蛋素","中文、英文、日文","(  +886-2-2771-8832","台北市大安區忠孝東路四段200號12樓","捷運忠孝敦化站徒步1分","11:30~15:00、14:30~16:30、17:30~21:30","約 NT$538 元","www.fruitfulfood.com.tw","25.041232,121.552014"
"養心茶樓","全素、奶蛋素","中文、英文、日文","(  +886-2-2542-8828","台北市中山區松江路128號2樓","捷運松江南京站徒步2分","11:30~21:30","約 NT$500 元","www.ysvege.com","25.052776,121.532806"
"Miacucina復興店","全素、奶蛋素","中文、英文、日文","(  +886-2-2752-8767","台北市大安區復興南路一段107巷11號","捷運忠孝復興站徒步5分","11:00~22:00，週六、週日 09:00~22:00","約 NT$200 元","www.facebook.com/Miacucinafamily","25.043728,121.544787"
"The Green ROOM","五辛素、部分餐點可改全素","中文、英文、日文","(  +886-2-2704-5208","台北市大安區仁愛路四段300巷25弄3號","捷運國父紀念館站徒步6分","12:00~16:00、17:00~22:00，週日休","約 NT$180 元","www.facebook.com/thegreenroomtpe","25.035945,121.554627"
"VegeTable餐廳","全素、五辛素","中文、英文","( +886-2-2755-5080","台北市大安區仁愛路四段266巷8弄2號","捷運忠孝敦化站徒步7分","11:00~22:00","約 NT$320 元","www.facebook.com/VegeTableTaipei","25.036937,121.552784"
"鈺成素食火烤兩吃","全素、奶蛋素","中文、英文、日文","(  +886-2-2775-5560","台北市大安區市民大道三段304號","捷運忠孝復興站徒步4分","11:30~22:00","約 NT$450 元","www.facebook.com/Yucheng.Hot.Pot.BBQ.TP/","25.044588,121.543187"
